epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0485,1.71834,3.19283,1.31124,0.96951,0.14977,0.23394,0.14784,1.15079,2.54445,0.91682,0.000465256,0.000465256,0.000465256
2,24.6995,1.34883,1.57214,1.06362,0.96406,0.21171,0.41248,0.24682,1.21355,1.90584,0.99998,0.000935375,0.000935375,0.000935375
3,35.8126,1.31432,1.40827,1.07162,0.35709,0.44292,0.3578,0.23678,1.06099,1.47127,0.96957,0.00139921,0.00139921,0.00139921
4,46.5705,1.30451,1.24175,1.07685,0.84657,0.44901,0.48249,0.29946,1.03432,1.0392,0.95287,0.00140071,0.00140071,0.00140071
5,57.2953,1.22071,1.17451,1.06257,0.60167,0.51432,0.57207,0.3735,1.03451,0.92838,0.9529,0.00139127,0.00139127,0.00139127
6,68.0244,1.2456,1.06959,1.0476,0.5716,0.41285,0.50167,0.31978,1.04035,1.06988,0.95598,0.00138184,0.00138184,0.00138184
7,78.9106,1.22817,1.07868,1.04991,0.60109,0.542,0.57144,0.39102,0.97831,0.79351,0.92089,0.00137241,0.00137241,0.00137241
8,89.5759,1.195,0.9624,1.01387,0.92857,0.50258,0.61186,0.40794,0.96202,0.7435,0.9153,0.00136298,0.00136298,0.00136298
9,100.497,1.15485,0.9101,1.02033,0.69124,0.62184,0.64052,0.42233,0.97542,0.75278,0.90867,0.00135355,0.00135355,0.00135355
10,111.419,1.17662,0.95806,1.01966,0.7373,0.63686,0.67675,0.44065,0.96574,0.7717,0.91462,0.00134412,0.00134412,0.00134412
11,122.346,1.21038,0.91725,1.0166,0.62598,0.63693,0.6667,0.45512,0.97097,0.68348,0.91511,0.00133469,0.00133469,0.00133469
12,133.314,1.16013,0.86749,1.0143,0.7665,0.59097,0.64785,0.43913,0.95615,0.71199,0.92052,0.00132525,0.00132525,0.00132525
13,144.309,1.16638,0.8564,1.0089,0.74201,0.63337,0.67791,0.45495,0.9474,0.66663,0.9047,0.00131582,0.00131582,0.00131582
14,155.089,1.14419,0.79302,1.00873,0.7085,0.63261,0.65508,0.42908,0.97801,0.64678,0.91986,0.00130639,0.00130639,0.00130639
15,165.991,1.15077,0.80024,1.00604,0.731,0.68042,0.69218,0.45613,0.94831,0.64012,0.89978,0.00129696,0.00129696,0.00129696
16,176.784,1.10548,0.76241,1.00883,0.79062,0.66031,0.70077,0.47521,0.95857,0.68539,0.91583,0.00128753,0.00128753,0.00128753
17,187.68,1.10949,0.77962,1.0014,0.74194,0.63252,0.69956,0.47344,0.96548,0.63206,0.91262,0.0012781,0.0012781,0.0012781
18,198.772,1.11082,0.75109,1.00186,0.86328,0.68085,0.75709,0.51611,0.93778,0.58159,0.90354,0.00126867,0.00126867,0.00126867
19,209.564,1.0727,0.72798,0.98765,0.75391,0.71903,0.71744,0.49014,0.93722,0.60845,0.89721,0.00125923,0.00125923,0.00125923
20,220.304,1.10063,0.73209,1.0086,0.81694,0.64992,0.73885,0.50713,0.92506,0.59837,0.90429,0.0012498,0.0012498,0.0012498
21,231.109,1.13736,0.74534,0.99455,0.83995,0.68417,0.74663,0.49134,0.94178,0.61023,0.89783,0.00124037,0.00124037,0.00124037
22,241.855,1.11757,0.71745,0.98682,0.80245,0.72457,0.76819,0.51814,0.92757,0.58362,0.90192,0.00123094,0.00123094,0.00123094
23,252.711,1.10972,0.68542,1.00375,0.80325,0.70259,0.74382,0.50147,0.93954,0.57997,0.89703,0.00122151,0.00122151,0.00122151
24,263.498,1.10176,0.6958,0.9888,0.81487,0.68917,0.74429,0.50935,0.91909,0.56571,0.89832,0.00121208,0.00121208,0.00121208
25,274.197,1.08074,0.66876,0.97811,0.8542,0.70595,0.76478,0.532,0.9083,0.57204,0.8883,0.00120265,0.00120265,0.00120265
26,285.131,1.05322,0.6698,0.97695,0.81235,0.67426,0.73748,0.51347,0.91148,0.58465,0.8907,0.00119322,0.00119322,0.00119322
27,295.846,1.09892,0.67754,0.97514,0.92196,0.7074,0.79324,0.54997,0.9204,0.5449,0.88813,0.00118378,0.00118378,0.00118378
28,306.68,1.0771,0.66855,0.98434,0.74121,0.74192,0.79193,0.5457,0.90772,0.56509,0.89142,0.00117435,0.00117435,0.00117435
29,317.583,1.0626,0.67714,0.97846,0.8134,0.72302,0.79393,0.53625,0.95267,0.5951,0.90533,0.00116492,0.00116492,0.00116492
30,328.223,1.05654,0.69606,0.97738,0.81034,0.75149,0.78677,0.5365,0.92981,0.53906,0.8941,0.00115549,0.00115549,0.00115549
